"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000113","GA0441200BWC","Decatur","DeKalb County","GA","DeKalb County Marshal's Office","Marshal","The DeKalb County Marshal's Office fully implemented its body-worn camera program in 2019.","County","Body-worn Cameras","","","https://www.dekalbcountyga.gov/news/dekalb-county-marshals-office-implements-body-camera-program","","DeKalb County","","05/28/2019","https://www.ajc.com/news/local/marshal-deputies-dekalb-wear-body-cameras/3XgzThybGh1OM2S9pUszdN/","","Atlanta. News. Now.","","05/29/2019","","","","","",""
"AOS000114","OH0771200BWC","Stow","Summit County","OH","Stow Police Department","Police","Through a $30,000 federal grant, the Stow Police Department outfitted its entire patrol division with Watchguard body-worn cameras in 2016. In January 2022, Ohio Governor Mike DeWine awarded $53,005.00 to the Stow Police for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://stowohio.org/documents/2017/11/2016-police-annual-report.pdf","","Stow Police Department Annual Report","","2016","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022",""
"AOS000115","VA0750300BWC","Woodbridge","Prince William County","VA","Prince William County Police Department","Police","In 2017, the Prince William County Police Department signed a 5-year contract to use Axon body-worn cameras with approximately 470 officers, including all patrol and school resource officers, motor units, and K9 officers. The project costs $700,000 per year.","County","Body-worn Cameras","","Axon","https://wamu.org/story/17/06/06/prince-william-county-police-get-body-cameras/","","WAMU","","06/06/2017","https://www.pwcgov.org/government/dept/police/Pages/body-worn-cameras.aspx","","Prince William County Virginia","","2017","","","","","",""
"AOS000117","NY0332900BWC","Manlius","Onondaga County","NY","Manlius Police Department","Police","The Manlius Police Department purchased 12 Axon body-worn Cameras in 2014.","Municipal","Body-worn Cameras","","Axon","https://www.syracuse.com/news/2015/01/manlius_police_body_cameras_police_body_cameras_in_central_new_york_syracuse_and.html","","Syracuse.com","","1/25/2015","https://www.uticaod.com/article/20150408/NEWS/150409520","","Utica Observer Dispatch","","4/8/2015","","","","","",""
"AOS000119","ID0260000BWC","Rigby","Jefferson County","ID","Jefferson County Sheriff's Office","Sheriff","Jefferson County purchased eight additional Axon cameras for the sheriff's office in 2019.","County","Body-worn Cameras","","Axon","https://www.postregister.com/star/news/commissioners-approve-grant-expenditures-other-purchases/article_89d45043-915a-5f92-a0a0-c6324cb0fbf4.html","","The Jefferson Star","","10/09/19","http://www.co.jefferson.id.us/use_images/Clerk_Minutes/2019-9-30minutes.pdf","","Jefferson County Commission","","09/30/2019","http://www.co.jefferson.id.us/use_images/Clerk_Minutes/2018-9-17minutes.pdf","","Jefferson County Commission","","09/17/2018",""
"AOS000120","CA0120000BWC","Eureka","Humboldt County","CA","Humboldt County Sheriff's Department","Sheriff","The Humboldt County Sheriff's Office signed a $91,000 contract with Axon in 2019 to equip all corrections officers with body-worn cameras.","County","Body-worn Cameras","","Axon","https://www.times-standard.com/2019/06/22/safety-are-what-the-cameras-are-all-about-corrections-deputies-now-wear-body-cams-on-duty/","","The Times-Standard","","06/22/2019","https://lostcoastoutpost.com/2019/jun/21/hccf-rolls-out-new-body-worn-camera-program/","","Lost Coast Outpost","","06/21/2019","https://kiem-tv.com/2019/06/21/humboldt-county-sherriffs-office-introduces-body-cameras-for-correctional-officers/","","KIEM TV Website","","06/21/2019",""
"AOS000124","NY0272800BWC","Brockport","Monroe County","NY","Brockport Police Department","Police","The Brockport Police Department adopted body-worn cameras in 2015. In 2017, BWC footage of an officer being attacked by a squirrel went viral over social media.","Municipal","Body-worn Cameras","","Axon","https://www.democratandchronicle.com/story/news/2015/07/21/brockport-police-body-cameras/30481155/","","Democrat and Chronicle","","07/21/2015","https://www.cbs17.com/news/video-squirrel-charges-police-officer-after-being-investigated-for-cookie-theft/","","CBS 17","","12/31/2017","https://www.facebook.com/109236079477338/photos/a.257722291295382/857774247956847/?type=3&theater","","Brockport Police Department's Facebook Page","","09/07/2019",""
"AOS000125","XX0000100BWC","Mansfield","Tarrant County","TX","Tarrant County Constables","Constables","The Tarrant County Constables purchased 12 body-worn cameras in 2015 with $6,600 in asset forfeiture funds.","County","Body-worn Cameras","","Axon","https://access.tarrantcounty.com/content/dam/main/auditor/AuditReports/AuditFY2016/5._Auditor%27s_Report_-_FY2015_Chapter_59_Asset_Forfeiture_Report_by_Law_Enforcement_Prepared_by_Constable_Pct%237_CO121614.pdf","","Tarrant County Website","","12/8/2015","","","","","","","","","","",""
"AOS000126","MI0923900BWC","Bay","Bay County","MI","Bay City Police Department","Police","Bay City began using body-worn cameras for police in 2015, with an initial purchase of 40 Axon cameras for $36,000.","Municipal","Body-worn Cameras","","Axon","https://www.mlive.com/news/bay-city/2015/11/qa_with_bay_city_public_safety.html","","MLive","","11/17/2015","https://www.baycitymi.org/DocumentCenter/View/2837/GO-325---On-Officer-Body-Camera","","Bay City","","05/07/2018","","","","","",""
"AOS000127","NV0130000BWC","Carson City","","NV","Carson City Sheriff's Office","Sheriff","The Carson City Sheriff's Office had body-worn cameras as early as 2016, but purchased further Axon body-worn cameras in 2018 and 2019.","Municipal","Body-worn Cameras","","Axon","https://www.carson.org/government/meeting-information/agendas/board-of-supervisors-agendas-with-supporting-materials/2018-agendas-with-supporting-materials/03-15-18-agenda-with-supporting-materials","","Carson City Board of Supervisors","","03/15/18","https://www.carson.org/home/showdocument?id=64552","","Carson City Board of Supervisors","","02/07/2019","https://pvtimes.com/news/sheriff-working-with-county-to-acquire-body-cameras/","","Pahrump Valley Times","","08/10/2016",""
"AOS000128","WA0170100BWC","Auburn","King County","WA","Auburn Police Department","Police","The Auburn Police Department signed a contract with Axon for body-worn cameras in 2022, but has been using BWCs since at least 2019.","Municipal","Body-worn Cameras","","","https://www.kiro7.com/news/local/new-video-shows-auburn-police-officers-saving-mans-life-with-narcan/911726491","","KIRO7 News","","01/30/2019","https://www.auburn-reporter.com/news/auburn-police-body-cam-program-goes-into-effect/","","Auburn Reporter","","04/07/2022","","","","","",""
"AOS000129","TX1012700BWC","Katy","Harris County","TX","Katy Police Department","Police","The Katy Police Department spent $88,000 on 48 body-worn cameras in 2016.","Municipal","Body-worn Cameras","","","https://communityimpact.com/houston/katy/city-county/2016/06/22/katy-police-department-plans-buy-body-worn-cameras-officers/","","Community Impact Newspaper","","06/22/2016","","","","","","","","","","",""
"AOS000143","CA0560400BWC","Oxnard","Ventura County","CA","Oxnard Police Department","Police","The Oxnard Police Department have used body-worn cameras since 2016. In September 2019, the department ordered 200 of the newest generation of Axon BWCs.","Municipal","Body-worn Cameras","","Axon","https://www.vcstar.com/story/news/2018/03/21/oxnard-approves-additional-body-cameras-police-plans-new-rose-avenu-traffic-light/435841002/","","VC Star","","03/21/2018","https://investor.axon.com/press-releases/press-release-details/2019/Axon-Now-Shipping-Axon-Body-3-First-Connected-Camera-with-Real-time-Situational-Awareness/default.aspx","","Axon","","09/23/2019","","","","","",""
"AOS000145","CA0430000BWC","San Jose","Santa Clara County","CA","Santa Clara County Sheriff's Department","Sheriff","The Santa Clara County Sheriff’s Office ordered 1,200 Axon body-worn Cameras in 2017.","County","Body-worn Cameras","","Axon","https://www.prnewswire.com/news-releases/santa-clara-county-sheriffs-department-and-nevada-highway-patrol-to-deploy-body-cameras-with-evidencecom-from-axon-300416601.html","","Cision","","3/2/2017","","","","","","","","","","",""
"AOS000146","CA0198400BWC","Los Angeles","Los Angeles County","CA","California State University, Northridge Department of Police Services","Police","The California State University Northridge Police Department deployed 28 Axon body-worn Cameras in 2018. The program will cost $185,000 over five years.","University","Body-worn Cameras","","Axon","https://www.dailynews.com/2017/10/29/csun-police-are-now-wearing-body-cameras-in-move-to-enhance-bonds-with-community/","","Los Angeles Daily News","","10/29/2017","https://csunshinetoday.csun.edu/university-news/csun-police-strengthen-positive-relationship-with-campus-community/","","CSUN Today","","08/22/17","https://www.csun.edu/police","","CSU Northridge Department of Police Services website","","11/11/2021",""
"AOS000147","FL0010100BWC","Gainesville","Alachua County","FL","Gainesville Police Department","Police","In 2018, the Gainesville City Comission approved a $609,972 contract between the Gainsville Police Department and Axon. The department was supplied with 190 Tasers, 107 body cameras, and 107 signal units for patrol vehicles.","Municipal","Body-worn Cameras","","Axon","https://www.wuft.org/news/2018/04/19/city-commission-approves-600000-contract-for-gainesville-police-body-cameras/","","WUFT","","04/19/18","https://www.gainesville.com/news/20180417/gpd-to-wear-body-cameras-starting-in-may","","The Gainesville Sun","","04/17/18","","","","","",""
"AOS000149","CA0480500BWC","Suisun City","Solano County","CA","Suisun City Police Department","Police","The Suisun City Police Department have been using body-worn Cameras since 2010. As of 2018, SCPD contracts with Axon at a cost of about $33,000 per year.","Municipal","Body-worn Cameras","","Axon","https://www.suisun.com/wp-content/files/Suisun_City_Council_Agenda_July_24_2018.pdf","","City of Suisun","","07/24/2018","https://www.suisun.com/wp-content/files/Suisun_City_FY_2018-19_Budget_Complete.pdf","","City of Suisun","","06/19/2018","","","","","",""
"AOS000151","CA0440300BWC","Watsonville","Santa Cruz County","CA","Watsonville Police Department","Police","The Watsonville Police Department equipped all of its officers with 75 Axon body-worn Cameras in 2019. The five-year contract cost more than $470,000.","Municipal","Body-worn Cameras","","Axon","https://patch.com/california/watsonville/all-watsonville-patrol-officers-now-wearing-body-cameras","","Patch","","07/22/19","https://www.santacruzsentinel.com/2019/03/28/watsonville-police-receive-funding-for-body-cameras/","","Santa Cruz Sentinel","","03/28/19","https://watsonville.legistar.com/LegislationDetail.aspx?ID=3896669&GUID=D9491668-F652-41C1-A06D-0FB647D87597&Options=&Search=","","Watsonville Legistar","","03/26/19",""
"AOS000152","TX2271400BWC","San Antonio","Bexar County","TX","University of Texas System Police - Health Science Center San Antonio","Police","The University of Texas System Police at the Health Science Center San Antonio purchased body-worn Cameras in 2013.","University","Body-worn Cameras","","","https://www.uthscsa.edu/sites/default/files/police/AnnualReport.pdf","","University of Texas Health Science Center at San Antonio","","2013","","","","","","","","","","",""
"AOS000153","CA0500000BWC","Modesto","Stanislaus County","CA","Stanislaus County Sheriff's Department","Sheriff","Stanislaus County Sheriff's Office purchased body-worn cameras for 180 deputies and 30 sergeants in April 2019. The BWCs cost about $70 per officer","County","Body-worn Cameras","","Axon","https://www.abc10.com/article/news/crime/sheriffs-department-releases-body-cam-video-of-deadly-july-hostage-situation-in-modesto/103-cf60572a-bf69-42be-9a6c-e88f8b73b898","","ABC News","","8/9/2019","https://www.facebook.com/stansheriff/videos/critical-incident-body-worn-camera-video/951137088562745/","","Facebook","","8/8/2019","https://www.modbee.com/news/local/crime/article228715924.html","","Modesto Bee","","04/02/2019",""
"AOS000154","CA0160300BWC","Lemoore","Kings County","CA","Lemoore Police Department","Police","The Lemoore Police Department began using body-worn cameras in 2015.","Municipal","Body-worn Cameras","","","http://www.mylemooreleader.com/114979","","The Leader","","05/29/15","https://hanfordsentinel.com/news/local/local-police-kings-county-has-our-back/article_ba792f55-a598-50e8-93fa-9b3406f59857.html","","The Hanford Sentinel","","9/5/2015","","","","","",""
"AOS000164","VA0430100BWC","Henrico","Henrico County","VA","Henrico County Police Division","Police","The Henrico County Police Department began using Axon body-worn cameras in 2015.","County","Body-worn Cameras","","Axon","https://henrico.us/assets/Police_BodyWornCameras_Directive.pdf","","Henrico County Police Department","","02/05/2016","https://www.richmond.com/news/local/henrico-police-body-worn-cameras/youtube_51c7b20e-c35e-11e4-bea6-23c712c9586e.html","","Richmond Times","","03/01/2015","https://www.richmond.com/news/local/hanover/state-police-prepare-to-add-body-cameras-to-the-field/article_b53c1ecc-3908-5bdd-a48a-9c60c6eafeec.html","","Rhichmond Times","","03/06/2017",""
